反應項,反應次數(202),反應比率,反應時間,第一反應次數,第一反應比率,第一反應之反應時間,排序,頻次,類別,yyy排序,代號,AS排名,頻率,百分比,累積百分比
淋病(Na),4,0.02,2.22,0,0.00,0,4.0,7,34,66,79425,70282,2,0.000,97.942
痛苦(Na),4,0.02,3.34,0,0.00,0,6.0,200,34,67,6484,6451,74,0.002,80.953
肺癌(Na),4,0.02,4.58,0,0.00,0,3.5,2,34,68,13200,12998,31,0.001,87.408
發炎(Na),4,0.02,6.87,0,0.00,0,4.0,12,34,69,na,na,na,na,na
躁鬱症(Na),4,0.02,4.18,0,0.00,0,3.8,2,34,70,27376,27329,11,0.000,92.818
護士(Na),4,0.02,2.68,0,0.00,0,5.3,40,34,71,6914,6914,68,0.001,81.581
腸病毒(Na),4,0.02,9.05,1,0.01,6.47,3.0,0,34,72,na,na,na,na,na
肝硬化(Na),4,0.02,7.58,0,0.00,0,3.3,2,34,73,9428,9309,47,0.001,84.483
白內障(Na),4,0.02,4.45,0,0.00,0,4.0,3,34,74,22967,22103,15,0.000,91.641
性病(Na),4,0.02,3.72,0,0.00,0,3.0,29,34,75,17212,16831,22,0.000,89.534
99(Na),99,0.49,5.14,34,0.17,6.3,2.5,14,35,1,na,na,na,na,na
榕樹(Na),88,0.44,5,31,0.15,6.05,2.5,14,35,2,8745,8719,51,0.001,83.798
榕(Na),11,0.06,6.22,3,0.02,8.89,2.6,0,35,3,na,na,na,na,na
松樹(Na),87,0.43,4.63,27,0.13,5.31,2.7,10,35,4,13867,13643,29,0.001,87.816
松樹(Na),58,0.29,4.66,15,0.08,5.51,2.8,10,35,5,13867,13643,29,0.001,87.816
松(Na),19,0.10,4.68,9,0.05,4.87,2.1,0,35,6,16087,15761,24,0.000,89.008
杉(Na),10,0.05,4.36,3,0.02,5.67,3.3,0,35,7,55538,50049,4,0.000,96.611
樟樹(Na),47,0.23,4.45,16,0.08,5.76,2.5,9,35,8,29369,29054,10,0.000,93.261
樟樹(Na),40,0.20,4.38,13,0.07,5.8,2.5,9,35,9,29369,29054,10,0.000,93.261
樟(Na),4,0.02,4.76,1,0.01,4.5,3.0,0,35,10,59869,57995,3,0.000,96.928
樟木(Na),3,0.02,5.02,2,0.01,6.09,1.3,0,35,11,na,na,na,na,na
椰子樹(Na),43,0.21,5.21,6,0.03,8.35,3.3,3,35,12,31699,31067,9,0.000,93.725
椰子樹(Na),39,0.19,5.01,5,0.03,8.55,3.3,3,35,13,31699,31067,9,0.000,93.725
椰子(Na),4,0.02,7.19,1,0.01,7.36,3.3,5,35,14,15892,15761,24,0.000,88.912
柏(Na),37,0.18,3.66,2,0.01,8.71,3.4,0,35,15,47516,44359,5,0.000,95.902
柏(Na),19,0.10,3.41,0,0.00,0,3.2,0,35,16,47516,44359,5,0.000,95.902
柏樹(Na),17,0.09,3.68,1,0.01,9.31,3.8,1,35,17,54482,50049,4,0.000,96.525
香柏樹(Na),1,0.01,8.11,1,0.01,8.11,1.0,0,35,18,na,na,na,na,na
檜木(Na),35,0.17,5.2,8,0.04,7.02,2.7,5,35,19,27460,27329,11,0.000,92.837
檜木(Na),25,0.12,4.67,6,0.03,5.58,2.6,5,35,20,27460,27329,11,0.000,92.837
紅檜(Na),10,0.05,6.53,2,0.01,11.35,2.9,1,35,21,42342,39808,6,0.000,95.331
楓樹(Na),26,0.13,5.06,10,0.05,4.62,2.5,2,35,22,29563,29054,10,0.000,93.301
楓樹(Na),19,0.10,4.48,8,0.04,4.6,2.4,2,35,23,29563,29054,10,0.000,93.301
楓(Na),7,0.04,6.65,2,0.01,4.71,2.9,0,35,24,31695,31067,9,0.000,93.724
柳樹(Na),59,0.29,5.53,16,0.08,6.03,3.2,1,35,25,42416,39808,6,0.000,95.340
柳樹(Na),18,0.09,3.91,0,0.00,0,3.5,1,35,26,42416,39808,6,0.000,95.340
柳(Na),3,0.02,3.41,0,0.00,0,4.0,0,35,27,22732,22103,15,0.000,91.569
白千層(Na),19,0.10,7.4,8,0.04,6.03,2.8,0,35,28,48828,44359,5,0.000,96.037
白千層(Na),17,0.09,6.75,8,0.04,6.03,2.9,0,35,29,48828,44359,5,0.000,96.037
千層樹(Na),2,0.01,12.97,0,0.00,0,2.5,0,35,30,na,na,na,na,na
黑板樹(Na),15,0.08,6.99,3,0.02,6.29,3.2,0,35,31,76711,70282,2,0.000,97.831
神木(Na),13,0.07,5.31,0,0.00,0,3.0,3,35,32,23815,23198,14,0.000,91.889
竹子(Na),9,0.05,4.13,0,0.00,0,3.7,4,35,33,6146,6090,79,0.002,80.425
竹子(Na),5,0.03,5.92,0,0.00,0,4.2,4,35,34,6146,6090,79,0.002,80.425
竹(Na),4,0.02,1.9,0,0.00,0,3.0,0,35,35,5129,5090,98,0.002,78.602
鳳凰樹(Na),9,0.05,7.16,3,0.02,8.77,3.3,0,35,36,105051,93826,1,0.000,98.762
鳳凰樹(Na),4,0.02,9.46,2,0.01,11.12,2.0,0,35,37,105051,93826,1,0.000,98.762
鳳凰木(Na),4,0.02,5.13,1,0.01,4.06,4.5,1,35,38,36996,36388,7,0.000,94.617
鳳凰花(Na),1,0.01,6.06,0,0.00,0,4.0,4,35,39,31489,31067,9,0.000,93.686
葉子(Na),4,0.02,4.02,2,0.01,5.71,3.0,44,35,40,5985,5970,81,0.002,80.162
葉子(Na),3,0.02,4.38,2,0.01,5.71,2.3,44,35,41,5985,5970,81,0.002,80.162
葉(Na),1,0.01,2.94,0,0.00,0,5.0,0,35,42,4243,4235,122,0.002,76.614
灌木(Na),8,0.04,6.09,1,0.01,7.91,3.0,7,35,43,18046,18032,20,0.000,89.896
小葉欖仁(Na),8,0.04,7.72,1,0.01,12.94,3.5,0,35,44,na,na,na,na,na
木棉(Na),8,0.04,5.58,0,0.00,0,3.9,2,35,45,30784,29054,10,0.000,93.551
木棉(Na),5,0.03,6.76,0,0.00,0,4.2,2,35,46,30784,29054,10,0.000,93.551
木棉花(Na),3,0.02,3.61,0,0.00,0,3.3,2,35,47,148469,93826,1,0.000,99.651
年輪(Na),7,0.04,6.42,3,0.02,7.73,2.7,1,35,48,48626,44359,5,0.000,96.016
大王椰子(Na),7,0.04,6.63,2,0.01,6.97,3.0,0,35,49,68947,57995,3,0.000,97.486
大王椰子(Na),6,0.03,6.51,1,0.01,6.59,3.3,0,35,50,68947,57995,3,0.000,97.486
大王椰子樹(Na),1,0.01,7.34,1,0.01,7.34,1.0,0,35,51,na,na,na,na,na
鐵樹(Na),7,0.04,4.5,0,0.00,0,3.6,2,35,52,95304,93826,1,0.000,98.562
鐵樹(Na),5,0.03,5.25,0,0.00,0,3.4,2,35,53,95304,93826,1,0.000,98.562
蘇鐵(Na),2,0.01,2.61,0,0.00,0,4.0,0,35,54,95824,93826,1,0.000,98.573
草(Na),7,0.04,2.94,4,0.02,3.7,1.6,0,35,55,3299,3290,165,0.003,73.872
草(Na),5,0.03,2.68,2,0.01,3.8,1.8,0,35,56,3299,3290,165,0.003,73.872
小草(Na),2,0.01,3.59,2,0.01,3.59,1.0,7,35,57,68805,57995,3,0.000,97.477
桃花心木(Na),6,0.03,5.82,0,0.00,0,2.3,0,35,58,na,na,na,na,na
杉樹(Na),6,0.03,4.81,1,0.01,5.81,2.2,0,35,59,66320,57995,3,0.000,97.324
杉木(Na),6,0.03,3.35,0,0.00,0,3.7,3,35,60,38792,36388,7,0.000,94.874
櫻花(Na),6,0.03,7.98,1,0.01,5.81,3.7,2,35,61,7363,7361,63,0.001,82.187
櫻花(Na),5,0.03,7.7,1,0.01,5.81,4.0,2,35,62,7363,7361,63,0.001,82.187
櫻(Na),1,0.01,9.38,0,0.00,0,2.0,0,35,63,29096,29054,10,0.000,93.205
橡樹(Na),6,0.03,7.01,3,0.02,7.56,2.8,1,35,64,31346,31067,9,0.000,93.660
橡樹(Na),5,0.03,6.91,2,0.01,7.58,3.2,1,35,65,31346,31067,9,0.000,93.660
橡木(Na),1,0.01,7.52,1,0.01,7.52,1.0,1,35,66,50956,50049,4,0.000,96.236
環保(Na),5,0.03,3.9,0,0.00,0,3.8,304,35,67,1156,1156,534,0.011,61.211
蘋果樹(Na),5,0.03,6.06,0,0.00,0,4.6,1,35,68,na,na,na,na,na
喬木(Na),5,0.03,5.37,1,0.01,3.36,2.6,2,35,69,37635,36388,7,0.000,94.708
桑樹(Na),5,0.03,2.67,1,0.01,4.16,2.4,1,35,70,125944,93826,1,0.000,99.190
花(Na),5,0.03,3.45,2,0.01,4.55,1.8,0,35,71,1455,1453,426,0.009,64.140
樹葉(Na),5,0.03,5.04,1,0.01,4.56,3.6,13,35,72,7569,7560,61,0.001,82.450
相思樹(Na),5,0.03,6.65,0,0.00,0,4.2,2,35,73,28281,27329,11,0.000,93.022
相思樹(Na),4,0.02,7.27,0,0.00,0,3.8,2,35,74,28281,27329,11,0.000,93.022
相思木(Na),1,0.01,4.16,0,0.00,0,6.0,1,35,75,na,na,na,na,na
木棉樹(Na),5,0.03,4.36,0,0.00,0,4.0,0,35,76,na,na,na,na,na
木棉樹(Na),4,0.02,4.54,0,0.00,0,4.0,0,35,77,na,na,na,na,na
棉樹(Na),1,0.01,3.62,0,0.00,0,4.0,0,35,78,na,na,na,na,na
欖仁樹(Na),5,0.03,6.9,0,0.00,0,4.2,1,35,79,94521,93826,1,0.000,98.546
欖仁樹(Na),3,0.02,8.49,0,0.00,0,4.7,1,35,80,94521,93826,1,0.000,98.546
大欖仁(Na),1,0.01,5.53,0,0.00,0,3.0,0,35,81,na,na,na,na,na
大葉欖仁(Na),1,0.01,3.52,0,0.00,0,4.0,0,35,82,na,na,na,na,na
樺樹(Na),5,0.03,6.64,3,0.02,6.51,1.4,2,35,83,45019,44359,5,0.000,95.647
樺樹(Na),3,0.02,6.5,2,0.01,5.44,1.3,2,35,84,45019,44359,5,0.000,95.647
樺木(Na),1,0.01,8.66,1,0.01,8.66,1.0,1,35,85,na,na,na,na,na
樺(Na),1,0.01,5.06,0,0.00,0,2.0,0,35,86,na,na,na,na,na
大樹(Na),4,0.02,5.19,0,0.00,0,3.5,14,35,87,8185,8096,56,0.001,83.186
檳榔樹(Na),4,0.02,5.08,0,0.00,0,4.3,6,35,88,31207,31067,9,0.000,93.634
樹枝(Na),4,0.02,8.73,1,0.01,7.66,2.5,3,35,89,7276,7263,64,0.001,82.073
白板樹(Na),4,0.02,5.66,2,0.01,7.59,2.8,0,35,90,na,na,na,na,na
菩提樹(Na),4,0.02,3.67,0,0.00,0,3.8,2,35,91,37509,36388,7,0.000,94.690
槭樹(Na),4,0.02,6.37,0,0.00,0,3.0,0,35,92,36923,36388,7,0.000,94.606
森林(Na),4,0.02,6.22,2,0.01,10.18,3.3,144,35,93,1379,1379,451,0.009,63.459
橄欖樹(Na),4,0.02,6.89,1,0.01,7.74,2.8,0,35,94,59421,57995,3,0.000,96.900
漆樹(Na),4,0.02,4.06,2,0.01,4.79,1.8,0,35,95,51635,50049,4,0.000,96.292
木瓜樹(Na),4,0.02,5.22,0,0.00,0,4.0,0,35,96,148508,93826,1,0.000,99.652
楓香(Na),4,0.02,4.75,0,0.00,0,3.0,0,35,97,45804,44359,5,0.000,95.727
梅樹(Na),4,0.02,5.87,0,0.00,0,4.8,0,35,98,62958,57995,3,0.000,97.118
梅樹(Na),3,0.02,5.34,0,0.00,0,4.3,0,35,99,62958,57995,3,0.000,97.118
梅(Na),1,0.01,7.45,0,0.00,0,6.0,0,35,100,26463,25841,12,0.000,92.595
桃(Na),4,0.02,5.72,1,0.01,6.14,3.5,0,35,101,23840,23198,14,0.000,91.896
桃(Na),2,0.01,4.83,0,0.00,0,4.0,0,35,102,23840,23198,14,0.000,91.896
桃樹(Na),2,0.01,6.61,1,0.01,6.14,3.0,0,35,103,na,na,na,na,na
槐樹(Na),4,0.02,6.71,0,0.00,0,4.3,0,35,104,74969,70282,2,0.000,97.760
槐樹(Na),3,0.02,6.52,0,0.00,0,4.7,0,35,105,74969,70282,2,0.000,97.760
槐木(Na),1,0.01,7.27,0,0.00,0,3.0,0,35,106,na,na,na,na,na
(Na),,,,,,,,,35,107,na,na,na,na,na
