反應項,反應次數(202),反應比率,反應時間,第一反應次數,第一反應比率,第一反應之反應時間,排序,頻次,類別,yyy排序,代號,AS排名,頻率,百分比,累積百分比
芭蕾舞(Na),25,0.12,6.18,15,0.08,6.67,2.0,20,29,3,19140,18703,19,0.000,90.336
國標(Na),64,0.32,4.89,15,0.08,6.18,3.0,0,29,4,na,na,na,na,na
國標(Na),43,0.21,4.34,9,0.05,5.02,3.1,0,29,5,na,na,na,na,na
國標舞(Na),19,0.10,6.01,5,0.03,8.27,2.7,0,29,6,80248,70282,2,0.000,97.976
國際標準舞(Na),2,0.01,6.17,1,0.01,6.19,3.5,0,29,7,na,na,na,na,na
街舞(Na),56,0.28,4.89,2,0.01,9.69,3.3,0,29,8,113811,93826,1,0.000,98.941
爵士(Na),47,0.23,4.26,15,0.08,4.81,2.5,8,29,9,13023,12998,31,0.001,87.296
現代舞(Na),44,0.22,4.18,10,0.05,4.37,3.0,3,29,10,18984,18703,19,0.000,90.275
現代舞(Na),43,0.21,4.18,10,0.05,4.37,2.9,3,29,11,18984,18703,19,0.000,90.275
現代舞蹈(Na),1,0.01,4.38,0,0.00,0,5.0,0,29,12,na,na,na,na,na
土風舞(Na),37,0.18,4.65,5,0.03,5.85,3.8,0,29,13,21091,20228,17,0.000,91.043
土風舞(Na),34,0.17,4.76,5,0.03,5.85,3.7,0,29,14,21091,20228,17,0.000,91.043
土風(Na),3,0.02,3.41,0,0.00,0,6.0,0,29,15,na,na,na,na,na
嘻哈(Na),34,0.17,6.41,7,0.04,6.33,3.2,0,29,16,na,na,na,na,na
嘻哈(Na),17,0.09,6.45,5,0.03,7,2.8,0,29,17,na,na,na,na,na
hiphop(Na),16,0.08,6.16,2,0.01,4.66,3.7,0,29,18,na,na,na,na,na
嘻哈舞(Na),1,0.01,9.64,0,0.00,0,2.0,0,29,19,na,na,na,na,na
熱舞(Na),32,0.16,3.7,4,0.02,3.84,3.5,0,29,20,73642,70282,2,0.000,97.705
恰恰(Na),32,0.16,3.43,1,0.01,8.95,4.0,2,29,21,64929,57995,3,0.000,97.239
恰恰(Na),31,0.15,3.25,0,0.00,0,4.1,2,29,22,64929,57995,3,0.000,97.239
chachacha(Na),1,0.01,8.95,1,0.01,8.95,1.0,0,29,23,na,na,na,na,na
探戈(Na),28,0.14,5.15,2,0.01,13.8,3.3,5,29,24,46722,44359,5,0.000,95.821
探戈(Na),27,0.13,5.16,2,0.01,13.8,3.3,5,29,25,46722,44359,5,0.000,95.821
Tango(Na),1,0.01,5,0,0.00,0,3.0,0,29,26,na,na,na,na,na
踢踏舞(Na),26,0.13,6.59,7,0.04,6.6,2.6,0,29,27,59625,57995,3,0.000,96.913
踢踏舞(Na),15,0.08,7.13,5,0.03,6.2,2.5,0,29,28,59625,57995,3,0.000,96.913
踢踏(Na),10,0.05,6.07,2,0.01,7.59,2.5,0,29,29,na,na,na,na,na
踢踏舞蹈(Na),1,0.01,3.62,0,0.00,0,5.0,0,29,30,na,na,na,na,na
華爾滋(Na),23,0.11,4.71,5,0.03,6.15,3.7,1,29,31,52503,50049,4,0.000,96.363
華爾滋(Na),21,0.10,4.69,5,0.03,6.15,3.6,1,29,32,52503,50049,4,0.000,96.363
Waltz(Na),2,0.01,4.96,0,0.00,0,4.5,0,29,33,na,na,na,na,na
民族舞(Na),21,0.10,5.32,1,0.01,8.44,3.6,7,29,34,145285,93826,1,0.000,99.586
民族舞(Na),10,0.05,5.84,1,0.01,8.44,3.7,7,29,35,145285,93826,1,0.000,99.586
民俗舞蹈(Na),5,0.03,4.48,0,0.00,0,4.8,0,29,36,na,na,na,na,na
民族舞蹈(Na),4,0.02,5.96,0,0.00,0,2.5,3,29,37,na,na,na,na,na
民俗舞(Na),2,0.01,3.54,0,0.00,0,2.0,0,29,38,67642,57995,3,0.000,97.405
佛朗明哥(Na),21,0.10,7.31,10,0.05,7.42,2.4,2,29,39,na,na,na,na,na
佛朗明哥(Na),19,0.10,7.45,10,0.05,7.42,2.3,2,29,40,na,na,na,na,na
佛朗明哥舞(Na),2,0.01,6.03,0,0.00,0,3.0,0,29,41,na,na,na,na,na
雷鬼(Na),20,0.10,4.2,1,0.01,5.45,3.6,0,29,42,108251,93826,1,0.000,98.827
有氧(Na),19,0.10,3.67,3,0.02,4.72,3.5,2,29,43,na,na,na,na,na
locking(Na),17,0.09,5.42,0,0.00,0,3.7,0,29,44,na,na,na,na,na
爵士舞(Na),17,0.09,5.17,2,0.01,4.54,3.6,0,29,45,44851,44359,5,0.000,95.629
爵士舞(Na),14,0.07,4.65,2,0.01,4.54,3.3,0,29,46,44851,44359,5,0.000,95.629
newjazz(Na),3,0.02,7.61,0,0.00,0,5.0,0,29,47,na,na,na,na,na
肚皮舞(Na),15,0.08,4.57,4,0.02,5.54,3.1,0,29,48,na,na,na,na,na
現代(Na),15,0.08,4.87,0,0.00,0,3.6,260,29,49,na,na,na,na,na
倫巴(Na),14,0.07,5.19,2,0.01,6.59,3.4,0,29,50,127337,93826,1,0.000,99.218
popping(Na),14,0.07,4.81,2,0.01,6.17,3.4,0,29,51,na,na,na,na,na
popping(Na),11,0.06,4.65,1,0.01,6.39,3.6,0,29,52,na,na,na,na,na
機械舞(Na),3,0.02,5.39,1,0.01,5.94,2.3,0,29,53,na,na,na,na,na
拉丁(Na),13,0.07,3.95,5,0.03,4.28,3.2,2,29,54,na,na,na,na,na
森巴(Na),12,0.06,7.14,3,0.02,9.02,2.9,0,29,55,24939,24499,13,0.000,92.202
森巴(Na),10,0.05,7.85,3,0.02,9.02,2.8,0,29,56,24939,24499,13,0.000,92.202
森巴舞(Na),2,0.01,3.61,0,0.00,0,3.5,0,29,57,52701,50049,4,0.000,96.379
拉丁舞(Na),10,0.05,5.66,4,0.02,6.2,1.9,0,29,58,135313,93826,1,0.000,99.382
拉丁舞(Na),9,0.05,5.25,4,0.02,6.2,1.8,0,29,59,135313,93826,1,0.000,99.382
拉丁舞蹈(Na),1,0.01,9.38,0,0.00,0,3.0,0,29,60,na,na,na,na,na
民俗(Na),9,0.05,4.27,0,0.00,0,3.0,59,29,61,2618,2607,216,0.004,71.250
民族(Na),9,0.05,3.66,1,0.01,5.52,3.0,104,29,62,903,901,673,0.014,58.098
breaking(Na),8,0.04,6.32,0,0.00,0,3.6,0,29,63,na,na,na,na,na
breaking(Na),6,0.03,6.4,0,0.00,0,4.2,0,29,64,na,na,na,na,na
霹靂舞(Na),1,0.01,8.14,0,0.00,0,2.0,0,29,65,70800,70282,2,0.000,97.589
地板動作(Na),1,0.01,4.03,0,0.00,0,2.0,0,29,66,na,na,na,na,na
瑜珈(Na),7,0.04,3.26,1,0.01,4.58,4.3,1,29,67,34210,33467,8,0.000,94.173
jazz(Na),6,0.03,3.63,1,0.01,4.25,3.3,0,29,68,na,na,na,na,na
音樂(Na),5,0.03,3.45,0,0.00,0,4.6,273,29,69,466,466,1206,0.025,50.113
捷舞(Na),5,0.03,5.18,0,0.00,0,3.8,0,29,70,79796,70282,2,0.000,97.957
捷舞(Na),4,0.02,6.07,0,0.00,0,3.8,0,29,71,79796,70282,2,0.000,97.957
Jive(Na),1,0.01,1.64,0,0.00,0,4.0,0,29,72,na,na,na,na,na
吉魯巴(Na),4,0.02,8.46,0,0.00,0,4.3,0,29,73,87570,70282,2,0.000,98.276
女舞(Na),4,0.02,2.85,0,0.00,0,4.5,0,29,74,na,na,na,na,na
交際舞(Na),4,0.02,6.26,0,0.00,0,3.5,0,29,75,67463,57995,3,0.000,97.394
交際舞(Na),3,0.02,6.03,0,0.00,0,3.3,0,29,76,67463,57995,3,0.000,97.394
社交舞(Na),1,0.01,6.95,0,0.00,0,4.0,0,29,77,83999,70282,2,0.000,98.129
高麗菜(Na),137,0.68,4.79,49,0.24,5.9,2.5,4,30,1,41920,39808,6,0.000,95.279
菠菜(Na),75,0.37,3.98,24,0.12,5.02,2.4,4,30,2,52512,50049,4,0.000,96.364
空心菜(Na),74,0.37,4.38,7,0.04,6.08,3.2,0,30,3,54889,50049,4,0.000,96.558
青江菜(Na),71,0.35,6.1,20,0.10,6.88,3.0,0,30,4,132061,93826,1,0.000,99.315
青江菜(Na),69,0.34,6.16,20,0.10,6.88,3.0,0,30,5,132061,93826,1,0.000,99.315
湯匙菜(Na),2,0.01,3.98,0,0.00,0,3.0,0,30,6,na,na,na,na,na
白菜(Na),50,0.25,4.11,13,0.07,5.93,3.4,3,30,7,15655,15270,25,0.001,88.793
大陸妹(Na),44,0.22,4.2,1,0.01,7.52,4.8,1,30,8,na,na,na,na,na
蕃茄(Na),44,0.22,3.91,8,0.04,5.05,4.0,0,30,9,27485,27329,11,0.000,92.843
大白菜(Na),39,0.19,3.97,3,0.02,5.08,3.7,1,30,10,57210,50049,4,0.000,96.748
紅蘿蔔(Na),39,0.19,6.03,12,0.06,7.89,3.2,1,30,11,26672,25841,12,0.000,92.646
紅蘿蔔(Na),26,0.13,5.67,7,0.04,7.73,3.5,1,30,12,26672,25841,12,0.000,92.646
胡蘿蔔(Na),13,0.07,6.76,5,0.03,8.11,2.5,4,30,13,42317,39808,6,0.000,95.328
小白菜(Na),36,0.18,3.91,4,0.02,6.52,3.9,0,30,14,68823,57995,3,0.000,97.478
A菜(Na),35,0.17,4.54,2,0.01,6.34,4.2,0,30,15,na,na,na,na,na
花椰菜(Na),33,0.16,5.02,7,0.04,6.54,3.1,1,30,16,83884,70282,2,0.000,98.125
花椰菜(Na),32,0.16,5.02,7,0.04,6.54,3.0,1,30,17,83884,70282,2,0.000,98.125
花椰(Na),1,0.01,4.91,0,0.00,0,5.0,0,30,18,na,na,na,na,na
青椒(Na),30,0.15,4.35,5,0.03,4.33,4.0,1,30,19,30243,29054,10,0.000,93.440
小黃瓜(Na),27,0.13,4.23,2,0.01,6.71,3.8,0,30,20,151632,93826,1,0.000,99.716
